section,Trace,Comment,Length,Area,
16,d005_p05,DDH traced 5/10/2019,1.68891,0.0597209,
16,d005_SER_p04,,0.2412,0.00202005,
16,mito03,,0.216752,0,
16,TEM FIELD,,35.965,80.6231,
17,8align1,,3.56272,0.34638,
17,8align2,,3.56274,0.346381,
17,8align3,,3.56272,0.346378,
17,8align4,,3.56274,0.346381,
17,8align5,,3.56273,0.346377,
17,8align6,,3.56274,0.346381,
17,8align7,,3.56274,0.346381,
17,8align8,,3.56274,0.346381,
17,8align9,,3.56274,0.346381,
17,9align1,,4.00306,0.55644,
17,9align10,,4.00301,0.556445,
17,9align2,,4.00324,0.55644,
17,9align3,,4.00318,0.55644,
17,9align4,,4.00318,0.556453,
17,9align5,,4.00319,0.556452,
17,9align6,,4.00308,0.556433,
17,9align7,,4.00316,0.556433,
17,9align8,,4.00326,0.55645,
17,9align9,,4.00326,0.55645,
17,d001,,2.8978,0.582502,
17,D001,,0.46754,0.00758512,
17,d002,,2.74632,0.380379,
17,D002,,0.37,0.00476169,
17,d005,DDH traced 5/10/2019,2.34375,0.331664,
17,d005_c04,,0.594127,0.0245387,
17,d005_cfa04,,0.201515,0,
17,d005_o05,,0.0834452,0.000334685,
17,d005_p04,DDH traced 5/10/2019,1.64805,0.150158,
17,d005_p05,DDH traced 5/10/2019,0.796679,0.0289812,
17,d005_SER_p04,,0.2412,0.00202005,
17,mito03,,0.216752,0,
17,TEM FIELD,,35.965,80.6231,
18,7align1,,1.61973,0.196874,
18,7align10,,1.61973,0.196874,
18,7align2,,1.61973,0.196874,
18,7align3,,1.61973,0.196874,
18,7align4,,1.61973,0.196874,
18,7align5,,1.61959,0.19684,
18,7align6,,1.61973,0.196874,
18,7align7,,1.61973,0.196874,
18,7align8,,1.61973,0.196874,
18,7align9,,1.61973,0.196874,
18,8align1,,3.54332,0.344316,
18,8align2,,3.54332,0.34432,
18,8align3,,3.54334,0.344298,
18,8align4,,3.54314,0.344283,
18,8align5,,3.54333,0.344298,
18,8align6,,3.54344,0.344282,
18,8align7,,3.54316,0.344282,
18,8align8,,3.54334,0.34432,
18,8align9,,3.54332,0.34432,
18,d001,,2.864,0.595944,
18,D001,,0.46754,0.00758512,
18,d002,,3.05141,0.424985,
18,D002,,0.37,0.00474936,
18,d005,DDH traced 5/10/2019,2.41809,0.345305,
18,d005_c04,,0.857146,0.0406689,
18,d005_cfa04,,0.344434,0,
18,d005_o05,,0.0834452,0.000334685,
18,d005_p04,DDH traced 5/10/2019,1.73856,0.144329,
18,d005_p05,DDH traced 5/10/2019,0.845733,0.0264132,
18,d005_SER_p04,,0.2414,0.00202206,
18,mito03,,0.216752,0,
18,TEM FIELD,,35.965,80.6231,
19,6align1,,1.65791,0.17177,
19,6align10,,1.65807,0.171802,
19,6align2,,1.65807,0.171802,
19,6align3,,1.65805,0.1718,
19,6align4,,1.65807,0.171802,
19,6align5,,1.65807,0.171802,
19,6align6,,1.65807,0.171802,
19,6align7,,1.65807,0.171802,
19,6align8,,1.65807,0.171802,
19,6align9,,1.65807,0.171802,
19,7align1,,1.61081,0.194767,
19,7align10,,1.61076,0.194756,
19,7align2,,1.6108,0.194765,
19,7align3,,1.61078,0.19476,
19,7align4,,1.61072,0.194745,
19,7align5,,1.61086,0.194778,
19,7align6,,1.61086,0.194778,
19,7align7,,1.61087,0.194781,
19,7align8,,1.61087,0.194781,
19,7align9,,1.61094,0.194798,
19,d001,,2.92134,0.598169,
19,D001,,0.46754,0.00758434,
19,d002,,3.29055,0.498325,
19,D002,,0.37,0.00476169,
19,d005,DDH traced 5/10/2019,2.50084,0.378402,
19,d005_c04,,0.563517,0.0210422,
19,d005_c04,,0.470052,0.0158356,
19,d005_cfa04,,0.21331,0,
19,d005_cfa04,,0.136512,0,
19,d005_o05,,0.0834452,0.000334685,
19,d005_p04,DDH traced 5/10/2019,1.75002,0.136069,
19,d005_p05,,0.54345,0.0137116,
19,d005_p06,DDH traced 5/10/2019,0.362887,0.00782315,
19,d005_SER_p04,,0.2412,0.00202005,
19,mito03,,0.216752,0,
19,TEM FIELD,,35.965,80.6231,
20,5align1,,6.10996,0.24621,
20,5align10,,6.11004,0.246213,
20,5align2,,6.11001,0.246206,
20,5align3,,6.11004,0.246213,
20,5align4,,6.11004,0.246213,
20,5align5,,6.11001,0.246212,
20,5align6,,6.11004,0.246213,
20,5align7,,6.11004,0.246213,
20,5align8,,6.11004,0.246213,
20,5align9,,6.11004,0.246213,
20,6align1,,1.65123,0.17041,
20,6align10,,1.6512,0.170404,
20,6align2,,1.6512,0.170404,
20,6align3,,1.65122,0.170407,
20,6align4,,1.65123,0.17041,
20,6align5,,1.6512,0.170404,
20,6align6,,1.6512,0.170404,
20,6align7,,1.6512,0.170404,
20,6align8,,1.6512,0.170404,
20,6align9,,1.6512,0.170404,
20,d001,,2.86624,0.575773,
20,D001,,0.46754,0.00758434,
20,d001_o04,symmetric candidate,0.0855438,0.000351651,
20,d002,,3.00628,0.558066,
20,D002,,0.3702,0.00475862,
20,d002_o1,symmetric candidate,0.118268,0.000672165,
20,d005,DDH traced 5/10/2019,2.41964,0.369371,
20,d005_c04,,0.98443,0.0482979,
20,d005_cfa04,,0.412229,0,
20,d005_o05,,0.0834452,0.000334685,
20,d005_p04,DDH traced 5/10/2019,1.75674,0.122792,
20,d005_p05,DDH traced 5/10/2019,0.415266,0.00579358,
20,d005_p06,DDH traced 5/10/2019,0.63877,0.0272626,
20,TEM FIELD,,35.965,80.6231,
21,4align1,,3.14475,0.136494,
21,4align10,,3.14477,0.136497,
21,4align11,,3.14477,0.136497,
21,4align12,,3.14477,0.136497,
21,4align2,,3.14477,0.136497,
21,4align3,,3.14465,0.136464,
21,4align4,,3.14477,0.136497,
21,4align5,,3.14477,0.136497,
21,4align6,,3.14477,0.136497,
